"No.|Date|Genre|Bibl|ContextBefore|Hit|ContextAfter"
"41|2003-01-04|Zeitung|Berliner Zeitung, 04.01.2003|Sie verheißt ""wachsendes Feuer"" als einzige Frau im Parlament.|Die ecuadorianische Politik bestimmen seit jeher die Männer.|Legendäres Beispiel ist die Hacienda Guachala, mit 300 Jahren eine der ältesten Haciendas Ecuadors."
"42|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Denn Frankreich besitze eine weltpolitische Position, an der es Deutschland mangele, sagt er im Interview.|Politik Seite 8|"
"43|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Zudem soll die Energiewirtschaft stärker belastet werden, etwa indem Atomkraftwerksbetreiber keine steuerfreien Rücklagen für die atomare Entsorgung mehr bilden können oder betriebliche Steuerbefreiungen für Mineralöl oder Flugbenzin abgeschafft werden.|Leitartikel S. 4, Politik S. 6|"
"44|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Kanzlerkandidatur, 18 Prozent, gleiche Augenhöhe zu den Volksparteien - die Erinnerung an solche Begriffe politischer Verblendung ist vielen Freidemokraten heute nur noch peinlich.|Auch solchen, die im vorigen Jahr derartige Zutaten eines überdrehten Wahlkampfes ebenso bejubelt hatten wie den Versuch, Politik und Spaß publikumswirksam zu verschmelzen.|Kein Strategiewechsel"
"45|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Gewiss, man weiß, dass der Frieden trügt.|Natürlich ist der SPD die Familie noch immer potenziell ein Hort der Unterdrückung und die lohnarbeitende Frau das Ideal; und natürlich hätte die Union lieber eine Politik der Ausländerverminderung, und eine ordentliche Leitkultur wäre ihr recht.|Es gibt die kleinen Unterschiede so gut noch wie die großen."
"46|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Der große Konsens hat eine erfreuliche und eine unerfreuliche Seite.|Gut ist es, dass die alten Schlachten geschlagen sind und der ideologische Proviant in der deutschen Politik nahezu aufgezehrt ist.|Weniger gut ist an dieser Selbstzivilisierung der Republik, dass es fortan nicht mehr so gut gelingen wird, eine der Demokratie zuträgliche Bedingung zu erfüllen: dass sich Regierung und Opposition merkbar voneinander unterscheiden, der Bürger also wirklich eine Wahl hat."
"47|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Die Sozialdemokraten in Niedersachsen setzen auf Lebensgefühl und Unterhaltung.|Politik spielt beim Wahlkampfauftakt in der Preussag-Arena in Hannover eine eher untergeordnete Rolle.|Gerade einmal elf Minuten Redezeit gönnt sich der Spitzenkandidat und amtierende Ministerpräsident Sigmar Gabriel - und das auch erst nach zwei Stunden bunten Kulturprogramms, quasi als Vorgruppe für den Hauptakt des Abends, Peter Maffay."
"48|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Die SPD lässt es menscheln in Hannover.|Wenig Politik, viel Unterhaltung.|Selbst die niedersächsische SPD-Chefin Edelgard Bulmahn darf nur für einen kurzen Auftritt auf die Bühne."
"49|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Um die letzte Zurückhaltung der Türkei zu überwinden, hat der US- Botschafter in Ankara, Robert Pearson, letzte Woche dem Vorsitzenden der türkischen Handelskammern Kreditgarantien zwischen vier und fünfzehn Milliarden Dollar in Aussicht gestellt, je nach Grad der türkischen Unterstützung.|Schließlich ist die Partizipation der Zivilgesellschaft an der Politik ein Teil der Demokratisierung.|"
"50|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Denn Motivation dürfte es in diesem Jahr für die radikalislamischen Extremisten selbst für den unwahrscheinlichen Fall geben, dass es nicht zu einem Krieg im Irak kommt.|Steigender Unmut über die Politik Washingtons und seiner Verbündeten in weiten Teilen der Welt, Empörung über die israelfreundliche Politik des Westens und über Russlands brutales Vorgehen im Kaukasus sind die Grundströmungen, die El Kaida und Partner zu dem Versuch ausnutzen werden, ihre Sympathisantenschar mit neuen An-schlägen zu vergrößern.|Die notwendige Infrastruktur besteht schon seit Anfang der 90er-Jahre."
"51|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Denn Motivation dürfte es in diesem Jahr für die radikalislamischen Extremisten selbst für den unwahrscheinlichen Fall geben, dass es nicht zu einem Krieg im Irak kommt.|Steigender Unmut über die Politik Washingtons und seiner Verbündeten in weiten Teilen der Welt, Empörung über die israelfreundliche Politik des Westens und über Russlands brutales Vorgehen im Kaukasus sind die Grundströmungen, die El Kaida und Partner zu dem Versuch ausnutzen werden, ihre Sympathisantenschar mit neuen An-schlägen zu vergrößern.|Die notwendige Infrastruktur besteht schon seit Anfang der 90er-Jahre."
"52|2003-01-06|Zeitung|Berliner Zeitung, 06.01.2003|Die Weltwirtschaft, die ja hauptsächlich von den USA abhängt, droht mit einem Krieg endgültig den Bach hinunterzugehen und Deutschland mit seinen starren und kostenintensiven Vorsorge- und Sozialsystemen zeigt sich als ""der kranke Mann Europas"", wie das englische Magazin Economist unlängst titelte.|Doch wenigstens, so scheint es, begreift die Politik hier zu Lande langsam, woran es mangelt.|Die erfolgreichen Länder Niederlande und Schweden, und mittlerweile auch wieder das lange Zeit schwer strauchelnde Japan, geben den Kurs vor, der Besserung verspricht."
"53|2003-01-07|Zeitung|Berliner Zeitung, 07.01.2003|Aber an diesem Tag versteht er es, die Zuhörer mitzureißen.|""Es muss Schluss sein mit einer Politik, die den Menschen misstraut"", brüllt er ins Mikrofon.|""Es ist allerhöchste Zeit für eine Politik, die den Menschen etwas zutraut."""
"54|2003-01-07|Zeitung|Berliner Zeitung, 07.01.2003|""Es muss Schluss sein mit einer Politik, die den Menschen misstraut"", brüllt er ins Mikrofon.|""Es ist allerhöchste Zeit für eine Politik, die den Menschen etwas zutraut.""|Auch zur eigenen Partei hat Gerhardt, der als Wortführer der Traditionalisten gilt, eine klare Haltung."
"55|2003-01-07|Zeitung|Berliner Zeitung, 07.01.2003|Doch laut Umfragen bewerten Kolumbianer erstmals seit Jahren die Entwicklung positiv - auch wenn eine Eskalation des Bürgerkrieges erwartet wird.|Im Mai haben die Kolumbianer mit Alvaro Uribe einen Mann zum Präsidenten gewählt, dessen Politik unweigerlich auf eine blutige Konfrontation mit den Guerillas hinausläuft.|Uribes Vorgänger Andres Pastrana war 1998 gewählt worden, weil er Frieden versprach."
"56|2003-01-07|Zeitung|Berliner Zeitung, 07.01.2003|Bei einem ehemaligen Bürgermeister der Drogenhauptstadt Medellin sind solche Kontakte in der Familie nichts Besonderes.|Uribes Politik ist aus einem anderen Grund bedenklich: wegen seiner engen Zusammenarbeit mit den Paramilitärs.|Die Paramilitärs verdanken ihre Gründung der Ermordung von Castanos Vater."
"57|2003-01-07|Zeitung|Berliner Zeitung, 07.01.2003|Seine Reue ist dabei nicht ohne Eigennutz.|Es geht das Gerücht, Castano bereite einen legalen Einstieg in die Politik vor.|Dass er gestattet, Drogenanbaugebiete der Paramilitärs zu vernichten, soll ihn in den Augen der USA akzeptabel machen."
"58|2003-01-07|Zeitung|Berliner Zeitung, 07.01.2003|Die Palästinenser sind politisch isoliert, ihre Führer haben keine Kontrolle mehr über die radikalen Splittergruppen.|An der Gewalt und der miserablen Lage, so die offizielle Propaganda, seien nur die Israelis und die aggressive Politik der Regierung von Ariel Scharon schuld.|Mittlerweile aber setzen sich nicht nur palästinensische Intellektuelle, sondern auch einige Politiker aus der unmittelbaren Umgebung Arafats kritisch mit dem Krieg und den Selbstmordattentaten auseinander."
"59|2003-01-07|Zeitung|Berliner Zeitung, 07.01.2003|Hitler, mit dem Haushofer gelegentlich zusammentraf, schickte er sogar seine diktaturkritischen Römerdramen ""Augustus"", ""Sulla"" und ""Scipio"".|Die konservativen Vorbehalte des ""Vierteljuden"" Haushofer gegen den Nationalsozialismus waren für Rudolf Heß kein Hindernis, den Sohn seines Freundes und Begründers der Geopolitik, des königlich-bayerischen Hauptmanns Karl Haushofer, bei Goebbels als Dozent für die Deutsche Hochschule für Politik zu installieren, und ihn auch dann nicht fallen zu lassen, als Haushofer sich weigerte, dem NS-Dozentenbund beizutreten.|Dem freien Mitarbeiter des Auswärtigen Amts - Haushofer war für England- und Südosteuropa-Politik zuständig - ließ man zeitweilig sogar seine ""Secret-Service-Propaganda"" durchgehen, wie eine Marginale Ribbentrops lautet."
"60|2003-01-08|Zeitung|Berliner Zeitung, 08.01.2003|Es ist vor allem ein sehr teurer Plan, über dessen Finanzierung zunächst nichts zu hören war.|Tatsache ist aber, dass die Regierung Bush ohnehin Politik auf Pump betreibt.|2002 betrug das Haushaltsdefizit als Folge einer ersten Steuersenkungsrunde, der schwächelnden Konjunktur und der gewaltig gestiegenen Ausgaben für Rüstung und Anti-Terror-Kampf 159 Milliarden Dollar."
"61|2003-01-08|Zeitung|Berliner Zeitung, 08.01.2003|Im Wahlkampf hatte man oft den Eindruck, wer den ""Spatzl"" wählt, bekommt auch ""Dörchen"" dazu.|Eine Doris Schröder-Köpf, die sich auch gerne in die Politik einmischt.|Ob an den Gerüchten nun etwas dran ist - wahrscheinlich könnte es bald unwichtig sein, da sie von der schnellen Nachrichten- und Schlagzeilenmaschinerie irgendwann wie Fakten behandelt werden."
"62|2003-01-08|Zeitung|Berliner Zeitung, 08.01.2003|Mit neuem Schwung sollte der zuletzt sehr erschüttert wirkende Parteivorsitzende der liberalen Gemeinde im Stuttgarter Staatstheater die Rückkehr der FDP auf die politische Bühne verkünden.|Das ist ihm leidlich geglückt, nicht zuletzt deshalb, weil die deutsche Politik nur langsam aus dem Weihnachtsschlaf erwacht.|Die Zukunft Westerwelles hängt jedoch nicht an einer Rede, sondern an Wahlergebnissen."
"63|2003-01-08|Zeitung|Berliner Zeitung, 08.01.2003|Zudem wolle man Sachspenden mitnehmen und erwarte schließlich, ""dass die Teilnehmer nach der Rückkehr über ihren Besuch in Bagdad in ihrem Umfeld berichten"".|Auf eine Politik der ""Kleinen Schritte"" setzen auch internationale Friedensinstitute und global wirkende Friedensinitiativen.|Hunderte solcher diplomatischer Bürger-Aktionen gegen das Ohnmachtsgefühl, nichts gegen den drohenden Krieg ausrichten zu können, fordert zum Beispiel Jan Øberg, Direktor der schwedischen ""Transnational Foundation for Peace and Future Research""."
"64|2003-01-09|Zeitung|Berliner Zeitung, 09.01.2003|Dafür benötigen sie Mut und noch mehr Geld.|Politik Seite 8|"
"65|2003-01-09|Zeitung|Berliner Zeitung, 09.01.2003|Aus dem erlauchten Kreis der internationalen Schiedsrichter musste der 32-Jährige ausscheiden, weil die Serie von Fehlentscheidungen auch nach dem Korea-Debakel nicht abriss.|Der Versuch Morenos, in Ecuador in die Politik einzusteigen, misslang ebenso.|Pierluigi Collina hingegen gelang am selben Tag ein Doppelsieg."
"66|2003-01-09|Zeitung|Berliner Zeitung, 09.01.2003|Hier hatten ihre Eltern eine Tanzschule, hier hat sie einen Pfarrer geheiratet und ihre Söhne zur Welt gebracht.|In der Wendezeit fing die Frau, die ein paar Semester Theologie studiert hat, als Gründungsmitglied der Bürgerbewegung ""Demokratie jetzt"" mit der Politik an.|Sie landete bald beim Bündnis 90 und nahm maßgeblich an den Vereinigungsgesprächen mit den Grünen teil."
"67|2003-01-09|Zeitung|Berliner Zeitung, 09.01.2003|Mit welchem Recht also beklagt er sich?|Wenn das Private von seiner Politik nicht zu trennen ist, dann muss die Öffentlichkeit wissen dürfen, ob er seine großartige Frau betrügt, ohne die er doch nicht wüsste, was in den Familien los ist und die seine Partei, die SPD, zur heimlichen Vorsitzenden erklärt hat.|Schröder wurde mit Hilfe - vielleicht sogar wegen seines Privatlebens gewählt."
"68|2003-01-09|Zeitung|Berliner Zeitung, 09.01.2003|Eine theoretische Alternative zum rigiden Sparkurs hat Wirtschaftsminister Wolfgang Clement vernünftigerweise prompt ausgeschlossen - die Anhebung der Mehrwertsteuer.|Das wäre in der Tat der verrückteste Weg, den die Politik in der augenblicklichen Lage beschreiten könnte.|Schon seit langem schwächelt die Binnennachfrage - eine höhere Mehrwertsteuer würde sie aufs Neue drosseln, im Gefolge ergäben sich unweigerlich um so stärker sinkende Staatseinnahmen."
"69|2003-01-09|Zeitung|Berliner Zeitung, 09.01.2003|Dass auch andere Länder große Hoffnungen auf die Bundesrepublik setzen, zeigt deren Wahl in den UN-Sicherheitsrat, der 180 von 183 Ländern zugestimmt haben - in vielen Fällen nicht trotz, sondern wegen der US-kritischen Haltung der Bundesregierung.|Es ist angesichts der aktuellen Politik der Bush-Regierung keine große Überraschung, dass ein solcher Kurs des größten EU-Landes mehr Sympathie gerade bei kleineren Ländern auslöst als enger Schulterschluss mit Washington.|Dennoch bleibt der Einfluss Deutschlands auf die Weltpolitik begrenzt."
"70|2003-01-09|Zeitung|Berliner Zeitung, 09.01.2003|Dennoch bleibt der Einfluss Deutschlands auf die Weltpolitik begrenzt.|Dass er etwa geringer sei als der Frankreichs - wie Oppositionspolitiker in Berlin Schröder vorhalten -, hat weniger mit der aktuellen Politik als mit dem Status im Sicherheitsrat zu tun:|Es ist das Veto-Recht der ständigen Mitglieder, das im Zweifel wirklich zählt und Einfluss verleiht."
"71|2003-01-09|Zeitung|Berliner Zeitung, 09.01.2003|Für viele ist er wegen seiner Erfahrung und der engen Kontakte zu den Gewerkschaften der sicherste Kandidat der Demokraten.|Andere meinen, er habe zu lange Politik in Washington gemacht, um noch als frischer Visionär präsentierbar zu sein.|Ein Visionär ist John Kerry, Senator von Massachusetts, auch nicht, doch er gilt als Mann mit klaren Prinzipien und durchsetzbaren Ideen."
